"tensp","giasp","bangmausp","image"
"Balô Túi Đeo Chéo MWC - 0834 Balô Túi Đeo Chéo Nam Nữ Unisex Nhiều Ngăn Tiện Ích","195.000 đ","  ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/11/z3860522289633-b6731fc46f8b996efbc7abe6d1382b9f.jpg"
"BALO MWC - 1137 Balo Nữ Phối Màu Siêu Cute Đựng Laptop Đi Chơi Đi Học Du Lịch Thời Trang","195.000 đ","   ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/07/z3584776703712-c02dbb8b6f30cb349f7a5a81b325fe83.jpg"
"BALO MWC - 1145 BALO Unisex Chống Sốc Chống Nước Nhiều Ngăn, Đựng Laptop, Phối Màu Sang Chảnh Mang Đi Học,Đi Làm,Đi Chơi...","270.000 đ","   ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/10/batch-z3780648877647-0841a92e174e6221a8b227706c8d1a7d-a288721c-0a5f-4dff-b14a-8985a740c364.jpg"
"Balô MWC BALO- 1163","195.000 đ","  ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2022/12/12/batch_z3953612006941_d5bdadd3096c4e79a8feff63f5a23218.jpg"
"Balô Túi Đeo Chéo MWC TUID- 0829","135.000 đ","   ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/10/batch-z3798330096260-33d00104e09ff165cde1f9e1f78d5404.jpg"
"BALO MWC - 1168 Balo Phong Cách Basic Cao Cấp Chất Vải Mềm Mịn,Đa Năng Đi Học ,Đi Chơi Chống Sock,Chống Nước Thời Trang","215.000 đ","  ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2022/12/10/batch_z3949213155473_27195197962e1ec55981217297eb3954.jpg"
"BALO MWC - 1165 Balo Phong Cách Basic Cao Cấp Chất Vải Mềm Mịn,Đa Năng Đi Học ,Đi Chơi Chống Sock,Chống Nước Thời Trang","215.000 đ","  ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2022/12/12/batch_z3953617690471_fbeb92077e51be32ca2d73a04282b8bc.jpg"
"Balô MWC BALO- 1176 Balo Phong Cách Basic Cao Cấp Chất Vải Mềm Mịn,Đa Năng Đi Học ,Đi Chơi Chống Sock,Chống Nước Thời Trang","235.000 đ","   ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2023/06/11/batch_z4423293789999_cb14574d69a14fa467cc3966703c1f55.jpg"
"BALO MWC - 1164 Balo Phong Cách Basic Cao Cấp Chất Vải Mềm Mịn,Đa Năng Đi Học ,Đi Chơi Chống Sock,Chống Nước Thời Trang","215.000 đ","   ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2023/06/15/batch_z4435426244027_4af3642ee5070004955ec4fff11aaa2a.jpg"
"BALO MWC - 1144 Balo Nữ Cao Cấp Nhiều Ngăn Siêu Tiện Lợi,Đa Năng,Đi Học,Đi Làm,Đi Chơi,Chống Sock,Chống Nước Thời Trang","250.000 đ"," ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/10/batch-z3798282134603-b36ee7184d774e6a7f1e2085f8ab442b.jpg"
"BALO MWC - 1125 Balo Unisex Chống Sốc Chống Nước Nhiều Ngăn Siêu Tiện Lợi, Đựng Laptop, Mang Đi Học,Đi Làm, Đi Chơi","180.000 đ","   ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2022/12/14/batch_z3712090735735_8f9f21eb100aa2d44ea5549c5d474927.jpg"
"BALO MWC - 1146 Balo Unisex Chống Sốc Chống Nước Nhiều Ngăn, Đựng Laptop, Mang Đi Học, Đi Chơi Thời Trang","270.000 đ"," ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/07/batch-z3593423749654-157a3979f47873b9cfab072edf808eff.jpg"
"BALO MWC - 1095 Balo Phong Cách Basic Cao Cấp Chất Vải Mềm Mịn,Đa Năng,Đi Học,Đi Chơi,Chống Sock,Chống Nước Thời Trang","215.000 đ","     ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/10/9-9b50f3ac-e3f4-406a-a6b3-69a1f12ee0b5.png"
"Balô MWC - 1172 Balo Phong Cách Basic Cao Cấp Chất Vải Mềm Mịn,Đa Năng Đi Học ,Đi Chơi Chống Sock,Chống Nước Thời Trang","215.000 đ","  ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2023/07/14/batch_z4426131518436_133887e645dab6972bfa05bf30e021eb.jpg"
"BALO MWC - 1143 Balo Unisex Phối Màu Sang Chảnh Chống Sốc Chống Nước Nhiều Ngăn Siêu Tiện Lợi, Mang Đi Học, Đi Chơi","250.000 đ","    ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/11/z3860536315987-bb4d344b17fd975c92cf7b0ba67f6c6a.jpg"
"BALO MWC - 1117 Balo Unisex Thời Trang Chống Sốc Chống Nước Nhiều Ngăn Siêu Tiện Lợi, Đựng Laptop, Mang Đi Học,Đi Làm,Đi Chơi","215.000 đ","    ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/10/batch-z3781022756704-bd044426b1e130fd29c958c62df58a90.jpg"
"BALO MWC - 1131 Balo Unisex Mini In Chữ Thời Trang Chống Sốc Chống Nước Nhiều Ngăn Siêu Tiện Lợi, Mang Đi Học,Đi Làm,Đi Chơi","135.000 đ"," ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2022/12/10/batch_z3949214914234_86405221b745ffdcf0b8fff1f32cbf2b.jpg"
"BALO MWC - 1157 Balo Phong Cách Basic Cao Cấp Chất Vải Mềm Mịn,Đa Năng,Đi Học,Đi Chơi,Chống Sock,Chống Nước Thời Trang","235.000 đ","   ","https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=//Upload/2022/10/3-825dbd01-3b46-499b-b1b2-e258ee99a395.png"
